"Comment","Designator","Footprint","LCSC"
"100nF","C1,C10,C16","PCBLib:Cap_Murata_GRM_0402","C431646"
"27pF","C2,C3","PCBLib:Cap_Murata_GRM_0402","C342944"
"3.9pF","C4,C7","PCBLib:Cap_Murata_GRM_0402","C565491"
"220pF","C5,C6,C11,C12,C13","PCBLib:Cap_Murata_GRM_0402","C412611"
"8.2pF","C8","PCBLib:Cap_Murata_GRM_0402","C393674"
"5.6pF","C9","PCBLib:Cap_Murata_GRM_0402","C525219"
"10nF","C14,C15","PCBLib:Cap_Murata_GRM_0402","C482489"
"10uF","C17,C20,C21","PCBLib:Cap_Murata_GRM_0402","C510630"
"1uF","C18,C23","PCBLib:Cap_Murata_GRM_0402","C527012"
"6.8pF","C19","PCBLib:Cap_Murata_GRM_0402","C338054"
"4.7uF","C22","PCBLib:Cap_Murata_GRM_0603","C77045"
"CPDQ5V0-HF","D1,D2,D3","PCBLib:SODFL1006X40N","C2441615"
"B5819W-TP","D4","PCBLib:SOD3716X135N","C84354"
"ESP32-C3-WROOM-02-N4","IC1","PCBLib:ESP32C3WROOM02N4","C2934560"
"TLV62568DBVR","IC2","PCBLib:TLV62568DBVR","C163219"
"MXC6655XA","IC3","PCBLib:MXC6655XA","C5189050"
"73251-1290","J1","PCBLib:Molex-SD-73251-129",""
"USB4105-GF-A","J2","PCBLib:GCT_USB4105-GF-A","C3020560"
"27nH","L1,L3,L4","PCBLib:L_Murata_LQG_0402","C12669"
"22nH","L2","PCBLib:L_Murata_LQG_0402","C12670"
"2.2uH","L5","PCBLib:ASPI0418FS","C2042636"
"155060VS73200","LED1,LED2","PCBLib:155060VS73200","C5362838"
"56k","R1","PCBLib:R_KOA_RK_0402","C71703"
"10k","R2,R3,R8","PCBLib:R_Vishay_CRCW_0402","C471764"
"5k1","R4,R5","PCBLib:R_Vishay_CRCW_0402","C138073"
"442k","R6","PCBLib:R_Bourns_CR_0603","C234533"
"97.6k","R7","PCBLib:R_Bourns_CR_0603","C507495"
"174","R9,R10,R11","PCBLib:R_Vishay_CRCW_0402","C416364"
"2K7","R13,R14","PCBLib:R_Vishay_CRCW_0402","C416505"
"2-1977223-8","S3","PCBLib:219772238","C2928194"
"CC1101RGP","U1","PCBLib:CC1101RGP","C29953"
"PVG3A103C01R00","VR1","PCBLib:PVG3A103C01R00","C840533"
"NX3225GA-26MHZ","Y1","PCBLib:NX3225GA16000MSTDCRG1","C485372"
